cdyd_kod;prz_kod;kod grupy przedmiotów;opis grupy przedmiotów;przedmiot;jezyk_przedm;prz_jed_dawca;prz_jed_biorcy;tzaj_kod;zajecia;liczba_godz;numer_grupy;opis_grupy;dzien_tygodnia;data;godz_od;godz_do;lokalizacja;prowadzacy;tytul;jedn_os_kod;rodzaj_umowy;kierunek;stopien_stud;tryb_stud;nr_sem
25/26-Z;000-SWY-2S-028;SWY-IAK-2S_s1Z,PP, 000-SWY-2S4;SWY_IAK, stacjonarne, 2S, 1sem.Z, przedmioty podstawowe, Semestr wyrównawczy - 2S4;Strategie i modele zarz?dzania w MSP;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;2;dla WGGiO?;?RODA       ;03.12.2025;13:15;14:45;B-4, sala 302;Gawron Iwona;dr in?.;200-300;UC;SWY;2;S;1
25/26-Z;000-SWY-2S-028;SWY-IAK-2S_s1Z,PP, 000-SWY-2S4;SWY_IAK, stacjonarne, 2S, 1sem.Z, przedmioty podstawowe, Semestr wyrównawczy - 2S4;Strategie i modele zarz?dzania w MSP;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;1;dla WIMiR, WEiP, WGGiO?;PONIEDZIA?EK;27.10.2025;16:30;18:00;B-4, sala 303;Gawron Iwona;dr in?.;200-300;UC;SWY;2;S;1
25/26-Z;000-SWY-2S-028;SWY-IAK-2S_s1Z,PP, 000-SWY-2S4;SWY_IAK, stacjonarne, 2S, 1sem.Z, przedmioty podstawowe, Semestr wyrównawczy - 2S4;Strategie i modele zarz?dzania w MSP;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;1;dla WIMiR, WEiP, WGGiO?;?RODA       ;05.11.2025;15:00;16:30;B-4, sala 302;Gawron Iwona;dr in?.;200-300;UC;SWY;2;S;1
25/26-Z;100-IZP-1S-260;IZP_1S_s1;     IZP_1S_s1;Prawo gospodarcze;POL;200-000;100-000;W;wyk?ad;30;1;;PONIEDZIA?EK;01.12.2025;15:00;16:30;D-14, sala 100 (AULA);Povstyn Oksana;dr hab.;200-302;UP;IZP;1;S;1
25/26-Z;100-RMV-2S-764;RMV_2S_1;     RMV_2S_1;Social aspects of sustainable development;ANG;100-000;100-000;W;wyk?ad;30;1;;?RODA       ;03.12.2025;17:30;19:45;A-4, sala 215;Uberman Robert;dr;200-304;UP;RMV;2;S;1
25/26-Z;120-ELT-2N-945;ELT_2N_sem_3_AiM, ELT_2N_sem_3_ELE;    ELT_2N_sem_3_AiM,     ELT_2N_sem_3_ELE;Zarz?dzanie zespo?em;POL;200-000;120-000;W;wyk?ad;18;1;;SOBOTA      ;20.12.2025;14:00;16:15;D-14, sala 118;Beck-Krala Ewa;dr hab. in?.;200-302;UP;ELT;2;N;
25/26-Z;130-130-1S-176;IMM-1S_s7,POHS,IMM, MBM-1S_s7,POHS,WIMR1;IMM WIMiR, stacjonarne I stopnia, przedmioty obieralne humanistyczno-spo?eczne.IMM, sem.7, MBM WIMiR, stacjonarne I stopnia, przedmioty obieralne humanistyczno-spo?eczne., sem.7;Makroekonomia;POL;200-000;130-000;W;wyk?ad;20;1;MBM;CZWARTEK    ;02.10.2025;16:45;18:15;D-14a, sala 1.1;Pos?uszny Krzysztof;dr in?.;200-300;UC;130;1;S;7
25/26-Z;130-130-1S-308;IMM-1S_s7,POHS_IMM, IMM-1S_s7,POHS,IMM, MBM-1S_s7,POHS,WIMR1;IMM WIMiR, stacjonarne I stopnia, przedmioty obieralne humanistyczno-spo?eczne IMiM, sem.7, IMM WIMiR, stacjonarne I stopnia, przedmioty obieralne humanistyczno-spo?eczne.IMM, sem.7, MBM WIMiR, stacjonarne I stopnia, przedmioty obieralne humanistyczno-spo?eczne., sem.7;Podstawy marketingu;POL;200-000;130-000;W;wyk?ad;20;1;MBM;PONIEDZIA?EK;27.10.2025;08:00;09:30;D-14a, sala 2.6;Ry? Adam;dr in?.;200-303;UP;130;1;S;7
25/26-Z;130-APR-2S-176;APR-2S_s2Z,POHS;WIMiR_APR, stacjonarne, 2S, 2sem.Z, przedmioty obieralne humanistyczno-spo?eczne;Makroekonomia;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;2;dla ROB;?RODA       ;12.11.2025;08:00;09:30;D-14a, sala 1.6;Uberman Robert;dr;200-304;UP;APR;2;S;2
25/26-Z;130-APR-2S-176;APR-2S_s2Z,POHS;WIMiR_APR, stacjonarne, 2S, 2sem.Z, przedmioty obieralne humanistyczno-spo?eczne;Makroekonomia;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;1;dla AIM;PI?TEK      ;09.01.2026;08:00;09:30;D-14a, sala 1.6;Uberman Robert;dr;200-304;UP;APR;2;S;2
25/26-Z;130-APR-2S-176;APR-2S_s2Z,POHS;WIMiR_APR, stacjonarne, 2S, 2sem.Z, przedmioty obieralne humanistyczno-spo?eczne;Makroekonomia;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;1;dla AIM;WTOREK      ;16.12.2025;08:00;09:30;D-14a, sala 1.6;Uberman Robert;dr;200-304;UP;APR;2;S;2
25/26-Z;130-APR-2S-176;APR-2S_s2Z,POHS;WIMiR_APR, stacjonarne, 2S, 2sem.Z, przedmioty obieralne humanistyczno-spo?eczne;Makroekonomia;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;1;dla AIM;WTOREK      ;02.12.2025;08:00;09:30;D-14a, sala 1.6;Uberman Robert;dr;200-304;UP;APR;2;S;2
25/26-Z;130-IAK-2S-322;IAK-2S_s2Z,PP;WIMiR_IAK, stacjonarne, 2S, 2sem.Z, przedmioty podstawowe;Podstawy zarz?dzania marketingowego;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;1;dla DIH;WTOREK      ;14.10.2025;16:45;18:15;D-14, sala 219;Pec Monika;dr in?.;200-303;UP;IAK;2;S;2
25/26-Z;130-IAK-2S-322;IAK-2S_s2Z,PP;WIMiR_IAK, stacjonarne, 2S, 2sem.Z, przedmioty podstawowe;Podstawy zarz?dzania marketingowego;POL;200-000;130-000;CWA;?wiczenia audytoryjne;14;2;dla IND;WTOREK      ;21.10.2025;18:30;20:00;D-14, sala 116;Pec Monika;dr in?.;200-303;UP;IAK;2;S;2
25/26-Z;130-IAK-2S-322;IAK-2S_s2Z,PP;WIMiR_IAK, stacjonarne, 2S, 2sem.Z, przedmioty podstawowe;Podstawy zarz?dzania marketingowego;POL;200-000;130-000;W;wyk?ad;14;1;dla DIH(14)+IND(18);PONIEDZIA?EK;27.10.2025;16:45;18:15;D-14, sala 119;Kondak Anna;dr;200-303;UP;IAK;2;S;2
25/26-Z;130-IME-1S-144;IME-1S_s7.PO2,WIMIR;IME, stacjonarne I stopnia, przedmioty obieralne, Przedsi?biorczo?? i zarz?dzanie,s7;In?ynieria zarz?dzania;POL;200-000;130-000;ZS;zaj?cia seminaryjne;10;3;;?RODA       ;29.10.2025;19:00;20:30;D-14a, sala 1.1;Ksi??ek Roger;dr in?.;200-304;UP;IME;1;S;7
25/26-Z;130-IME-1S-144;IME-1S_s7.PO2,WIMIR;IME, stacjonarne I stopnia, przedmioty obieralne, Przedsi?biorczo?? i zarz?dzanie,s7;In?ynieria zarz?dzania;POL;200-000;130-000;ZS;zaj?cia seminaryjne;10;1;;WTOREK      ;21.10.2025;16:45;18:15;D-14a, sala 2.6;Ksi??ek Roger;dr in?.;200-304;UP;IME;1;S;7
25/26-Z;130-IME-1S-176;IME-1S,s1,PO;IME, stacjonarne I stopnia, przedmioty obieralne, sem.1;Makroekonomia;POL;200-000;130-000;W;wyk?ad;28;1;;PONIEDZIA?EK;15.12.2025;18:30;20:00;D-14a, sala 2.2;Pos?uszny Krzysztof;dr in?.;200-300;UC;IME;1;S;1
25/26-Z;130-IME-1S-176;IME-1S,s1,PO;IME, stacjonarne I stopnia, przedmioty obieralne, sem.1;Makroekonomia;POL;200-000;130-000;W;wyk?ad;28;1;;PONIEDZIA?EK;08.12.2025;18:30;20:00;D-14a, sala 2.2;Pos?uszny Krzysztof;dr in?.;200-300;UC;IME;1;S;1
